2021-12-20 16:08:32:222 [background-preinit] INFO  org.hibernate.validator.internal.util.Version(Version.java 21) -HV000001: Hibernate Validator 6.2.0.Final
2021-12-20 16:08:33:921 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(RepositoryConfigurationDelegate.java 262) -Multiple Spring Data modules found, entering strict repository configuration mode!
2021-12-20 16:08:33:925 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(RepositoryConfigurationDelegate.java 132) -Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-12-20 16:08:33:961 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate(RepositoryConfigurationDelegate.java 201) -Finished Spring Data repository scanning in 19 ms. Found 0 Redis repository interfaces.
2021-12-20 16:08:35:051 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'shiroConfig' of type [com.zookao.admin.shiro.ShiroConfig$$EnhancerBySpringCGLIB$$58728eca] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 16:08:36:399 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 16:08:36:539 [main] INFO  org.reflections.Reflections(Reflections.java 219) -Reflections took 71 ms to scan 1 urls, producing 3 keys and 9 values
2021-12-20 16:08:36:673 [main] INFO  com.zookao.admin.shiro.ShiroConfig(ShiroConfig.java 148) -@Pass:["/admin/user/login"]
2021-12-20 16:08:36:693 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 16:08:36:735 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'spring.redis-org.springframework.boot.autoconfigure.data.redis.RedisProperties' of type [org.springframework.boot.autoconfigure.data.redis.RedisProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 16:08:36:742 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'org.springframework.boot.autoconfigure.data.redis.JedisConnectionConfiguration' of type [org.springframework.boot.autoconfigure.data.redis.JedisConnectionConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 16:08:36:871 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'redisConnectionFactory' of type [org.springframework.data.redis.connection.jedis.JedisConnectionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-12-20 16:08:36:880 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(PostProcessorRegistrationDelegate.java 376) -Bean 'redisConfig' of type [com.zookao.admin.config.RedisConfig$$EnhancerBySpringCGLIB$$fd5eb927] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
